"eta_over_gamma","t","Fidelity"
0.,0.1,0.9954720414969687
0.,0.158,0.9893200568846698
0.,0.216,0.9811306135309059
0.,0.274,0.9712796429256223
0.,0.332,0.9600932936260251
0.,0.39000000000000007,0.9478538688455529
0.,0.448,0.9348050863929549
0.,0.506,0.9211567367213637
0.,0.564,0.9070888064628534
0.,0.6220000000000001,0.892755127362781
0.,0.6800000000000002,0.8782866038888116
0.,0.738,0.8637940668816674
0.,0.796,0.8493707953579406
0.,0.854,0.8350947438982419
0.,0.912,0.8210305088927836
0.,0.9699999999999999,0.8072310632145474
0.,1.028,0.7937392855969398
0.,1.086,0.7805893080633644
0.,1.1440000000000001,0.7678077021504168
0.,1.2020000000000002,0.7554145223488149
0.,1.2600000000000002,0.7434242231250041
0.,1.318,0.7318464640533862
0.,1.3760000000000001,0.7206868159591993
0.,1.4340000000000002,0.7099473795228315
0.,1.492,0.6996273265078938
0.,1.55,0.6897233726299641
0.,1.608,0.6802301900647849
0.,1.6660000000000001,0.6711407666897902
0.,1.7240000000000002,0.6624467183486773
0.,1.7819999999999998,0.6541385597141738
0.,1.8399999999999999,0.6462059386893071
0.,1.898,0.6386378387235306
0.,1.956,0.6314227529191623
0.,2.014,0.6245488333587739
0.,2.072,0.6180040186892126
0.,2.13,0.6117761426473277
0.,2.188,0.6058530259012751
0.,2.2459999999999996,0.6002225533051398
0.,2.3040000000000003,0.594872738419615
0.,2.3619999999999997,0.5897917769341885
0.,2.4200000000000004,0.5849680904335895
0.,2.4779999999999998,0.5803903617804361
0.,2.536,0.5760475632346258
0.,2.594,0.5719289782958938
0.,2.652,0.5680242181371586
0.,2.71,0.5643232333911011
0.,2.7680000000000002,0.5608163219593388
0.,2.826,0.5574941334312014
0.,2.884,0.5543476706262923
0.,2.942,0.5513682887106599
0.,3.,0.5485476922795307
1.,0.1,0.9956156722376933
1.,0.158,0.9898403488896264
1.,0.216,0.9823524987529897
1.,0.274,0.9735740923848831
1.,0.332,0.963851343777283
1.,0.39000000000000007,0.9534672803715014
1.,0.448,0.9426522790357709
1.,0.506,0.9315928943449786
1.,0.564,0.9204392532998695
1.,0.6220000000000001,0.9093112467628436
1.,0.6800000000000002,0.8983037110363905
1.,0.738,0.8874907620485777
1.,0.796,0.8769294185970442
1.,0.854,0.866662629248113
1.,0.912,0.8567217991266337
1.,0.9699999999999999,0.8471288974068345
1.,1.028,0.8378982133557673
1.,1.086,0.8290378178947719
1.,1.1440000000000001,0.8205507784995958
1.,1.2020000000000002,0.8124361675781329
1.,1.2600000000000002,0.8046898980123696
1.,1.318,0.7973054141315854
1.,1.3760000000000001,0.7902742618320642
1.,1.4340000000000002,0.7835865577358377
1.,1.492,0.7772313740707284
1.,1.55,0.7711970532582809
1.,1.608,0.7654714639327731
1.,1.6660000000000001,0.7600422082142415
1.,1.7240000000000002,0.7548967884632596
1.,1.7819999999999998,0.7500227404062547
1.,1.8399999999999999,0.7454077383964453
1.,1.898,0.7410396776325501
1.,1.956,0.7369067373663457
1.,2.014,0.7329974284665824
1.,2.072,0.7293006281502916
1.,2.13,0.7258056042259733
1.,2.188,0.722502030802095
1.,2.2459999999999996,0.7193799970866791
1.,2.3040000000000003,0.7164300106293053
1.,2.3619999999999997,0.7136429961270716
1.,2.4200000000000004,0.7110102907237588
1.,2.4779999999999998,0.7085236365705994
1.,2.536,0.7061751712825932
1.,2.594,0.7039574168119912
1.,2.652,0.7018632671668097
1.,2.71,0.6998859753240408
1.,2.7680000000000002,0.6980191396220714
1.,2.826,0.6962566898626015
1.,2.884,0.6945928733072834
1.,2.942,0.693022240716901
1.,3.,0.6915396325499175
10.,0.1,0.9966428394281767
10.,0.158,0.9931517370589114
10.,0.216,0.9893481323677007
10.,0.274,0.9855049732687741
10.,0.332,0.9817517941529315
10.,0.39000000000000007,0.9781469960612948
10.,0.448,0.974713863017072
10.,0.506,0.9714584992618382
10.,0.564,0.9683787538016086
10.,0.6220000000000001,0.9654686524890272
10.,0.6800000000000002,0.9627205912575172
10.,0.738,0.9601264140498103
10.,0.796,0.9576779355593459
10.,0.854,0.9553671879965424
10.,0.912,0.9531865310415981
10.,0.9699999999999999,0.951128694322428
10.,1.028,0.9491867869467374
10.,1.086,0.9473542912643711
10.,1.1440000000000001,0.9456250493865518
10.,1.2020000000000002,0.9439932466782778
10.,1.2600000000000002,0.9424533942930775
10.,1.318,0.9410003117506961
10.,1.3760000000000001,0.9396291100272536
10.,1.4340000000000002,0.9383351753643038
10.,1.492,0.9371141538736012
10.,1.55,0.9359619369512313
10.,1.608,0.9348746474846574
10.,1.6660000000000001,0.9338486268225451
10.,1.7240000000000002,0.9328804224716281
10.,1.7819999999999998,0.9319667764832644
10.,1.8399999999999999,0.9311046144926178
10.,1.898,0.930291035374589
10.,1.956,0.92952330148219
10.,2.014,0.9287988294347651
10.,2.072,0.9281151814251851
10.,2.13,0.9274700570168256
10.,2.188,0.9268612854027602
10.,2.2459999999999996,0.9262868181011328
10.,2.3040000000000003,0.9257447220621413
10.,2.3619999999999997,0.925233173163438
10.,2.4200000000000004,0.9247504500720636
10.,2.4779999999999998,0.9242949284522608
10.,2.536,0.9238650754996771
10.,2.594,0.9234594447835658
10.,2.652,0.9230766713796283
10.,2.71,0.9227154672771227
10.,2.7680000000000002,0.9223746170447793
10.,2.826,0.9220529737409444
10.,2.884,0.9217494550541874
10.,2.942,0.9214630396613829
10.,3.,0.921192763791018
